edge_id,scenario,total_transmissions,total_raw_bytes,total_compressed_bytes,avg_compression_%,avg_prd_%,avg_latency_ms,std_latency_ms,avg_cpu_%,avg_memory_mb,risk_high,risk_moderate,risk_low,risk_minimal,risk_change_events
edge-01,scenario1_baseline,352573,19739744,19739744,0.00,0.0000,1733.28,249.72,0.2,89.6,0,0,58530,294043,544
edge-02,scenario1_baseline,420877,23550947,23550947,0.00,0.0000,1718.68,233.72,0.2,90.1,0,0,135342,285535,664
edge-03,scenario1_baseline,282523,15815458,15815458,0.00,0.0000,1647.81,239.01,0.2,89.2,0,0,100151,182372,283
edge-04,scenario1_baseline,351594,19694566,19694566,0.00,0.0000,1689.77,254.31,0.2,89.3,0,0,106799,244795,411
edge-05,scenario1_baseline,490567,27417918,27417918,0.00,0.0000,1749.74,217.73,0.2,90.1,0,0,160468,330099,917
edge-06,scenario1_baseline,282879,15847408,15847408,0.00,0.0000,1721.26,258.33,0.2,89.0,0,0,65173,217706,461
edge-07,scenario1_baseline,273888,14651731,14651731,0.00,0.0000,1279.80,184.04,0.2,88.1,273696,192,0,0,6
edge-08,scenario1_baseline,329281,17948470,17948470,0.00,0.0000,1408.42,215.21,0.2,87.9,236871,64888,27522,0,804
edge-09,scenario1_baseline,198174,11044370,11044370,0.00,0.0000,1327.62,200.65,0.2,87.3,193394,4780,0,0,100
edge-10,scenario1_baseline,259367,14415003,14415003,0.00,0.0000,1428.50,220.47,0.2,87.8,165330,80663,13374,0,979
edge-11,scenario1_baseline,398472,20969811,20969811,0.00,0.0000,1338.55,229.43,0.2,88.3,333630,59146,5696,0,310
edge-12,scenario1_baseline,262085,14532323,14532323,0.00,0.0000,1306.10,193.67,0.2,88.3,196471,36528,29086,0,208
edge-13,scenario1_baseline,323861,17926816,17926816,0.00,0.0000,1392.39,216.21,0.2,89.5,93891,35634,74551,119785,716
edge-14,scenario1_baseline,324355,17924830,17924830,0.00,0.0000,1362.39,240.17,0.2,89.1,132220,59019,17092,116024,409
edge-15,scenario1_baseline,327779,18295967,18295967,0.00,0.0000,1346.57,250.25,0.2,89.5,65538,0,48647,213594,351
edge-16,scenario1_baseline,340208,18204254,18204254,0.00,0.0000,1312.80,202.49,0.2,88.8,269502,2662,7651,60393,111
edge-17,scenario1_baseline,393199,21903475,21903475,0.00,0.0000,1342.10,242.05,0.2,89.7,130953,96,48157,213993,369
edge-18,scenario1_baseline,389062,21545023,21545023,0.00,0.0000,1383.00,256.90,0.2,89.8,130587,43182,43753,171540,467
edge-19,scenario1_baseline,393064,21902999,21902999,0.00,0.0000,1343.58,251.40,0.2,89.9,65501,0,70636,256927,592
edge-20,scenario1_baseline,332790,17827255,17827255,0.00,0.0000,1392.63,210.18,0.2,88.3,264038,68752,0,0,938
