edge_id,scenario,total_transmissions,total_raw_bytes,total_compressed_bytes,avg_compression_%,avg_prd_%,avg_latency_ms,std_latency_ms,avg_cpu_%,avg_memory_mb,risk_high,risk_moderate,risk_low,risk_minimal,risk_change_events
edge-01,scenario2_static,28709,19918273,6603883,66.65,6.8907,1327.47,150.83,0.2,87.7,0,0,12731,15978,179
edge-02,scenario2_static,34420,23897088,7933503,66.60,6.8511,1353.60,152.49,0.2,88.2,0,0,8290,26130,363
edge-03,scenario2_static,22963,15947629,5243016,66.94,6.7129,1318.30,136.40,0.2,87.4,0,0,7660,15303,209
edge-04,scenario2_static,28685,19994613,6617649,66.73,7.0115,1442.16,144.67,0.2,88.3,0,0,3857,24828,325
edge-05,scenario2_static,40128,27839656,9229959,66.66,6.8951,1385.93,183.26,0.2,88.8,0,0,8758,31370,382
edge-06,scenario2_static,22959,16017975,5290178,66.80,6.8178,1394.10,118.97,0.2,87.9,0,0,2669,20290,213
edge-07,scenario2_static,22451,15053013,2573411,82.86,0.3963,1280.11,147.88,0.2,86.6,17570,4141,740,0,348
edge-08,scenario2_static,28154,18972326,3405281,82.02,0.5659,1200.37,103.11,0.2,86.6,28138,16,0,0,7
edge-09,scenario2_static,16872,11414569,1924779,83.11,0.2935,1277.78,129.57,0.2,86.3,12490,4382,0,0,393
edge-10,scenario2_static,22464,15172513,2572748,83.02,0.3430,1250.50,126.92,0.2,86.5,16840,3016,2608,0,198
edge-11,scenario2_static,33642,22449885,3907026,82.55,0.4474,1316.35,163.14,0.2,87.2,23347,8073,2222,0,563
edge-12,scenario2_static,22457,14988212,2553860,82.93,0.4493,1278.33,140.70,0.2,86.7,17383,4394,680,0,290
edge-13,scenario2_static,28411,19120612,5129143,73.03,4.2721,1236.12,122.12,0.2,88.0,11328,8,2385,14690,183
edge-14,scenario2_static,28081,18932893,4516432,75.99,2.9155,1274.70,129.60,0.2,87.5,11962,4850,1106,10163,412
edge-15,scenario2_static,28410,19118055,5787031,69.48,5.4858,1235.91,123.73,0.2,87.7,5658,0,13114,9638,155
edge-16,scenario2_static,28194,18689481,3889493,79.07,1.8036,1295.48,133.91,0.2,86.9,16077,6447,5630,40,719
edge-17,scenario2_static,34058,22668451,6393146,71.61,4.8227,1279.22,139.28,0.2,88.6,9609,1702,3000,19747,591
edge-18,scenario2_static,33884,22467234,5812211,73.95,3.5891,1240.67,124.28,0.2,87.7,16909,3822,3552,9601,304
edge-19,scenario2_static,34089,22962984,7114627,68.80,5.8608,1234.31,126.33,0.2,88.2,5660,0,12311,16118,191
edge-20,scenario2_static,28077,18790836,3243238,82.70,0.9372,1280.39,146.29,0.2,87.1,23089,4008,980,0,338
