edge_id,scenario,total_transmissions,total_raw_bytes,total_compressed_bytes,avg_compression_%,avg_prd_%,avg_latency_ms,std_latency_ms,avg_cpu_%,avg_memory_mb,risk_high,risk_moderate,risk_low,risk_minimal,risk_change_events
edge-01,scenario3_vispac,640,19369020,4556985,67.63,8.7266,1245.41,109.24,0.2,89.1,0,0,285,355,109
edge-02,scenario3_vispac,696,23420674,5548909,68.52,8.4877,1244.24,107.00,0.2,89.9,0,0,145,551,178
edge-03,scenario3_vispac,497,15507034,3708148,65.79,8.7011,1222.54,112.97,0.2,88.5,0,0,257,240,79
edge-04,scenario3_vispac,561,19560965,4273961,70.63,8.5299,1244.70,111.28,0.2,89.5,0,0,101,460,131
edge-05,scenario3_vispac,865,23792120,6775954,66.81,8.8197,1265.72,102.40,0.2,88.8,0,0,342,523,167
edge-06,scenario3_vispac,502,15795943,3662455,70.76,7.8414,1240.02,108.05,0.2,88.4,0,0,182,320,111
edge-07,scenario3_vispac,6983,15099974,781949,93.11,0.5023,1198.42,94.59,0.2,87.1,6214,769,0,0,428
edge-08,scenario3_vispac,9843,18979898,1429664,90.08,0.5785,1193.12,90.49,0.2,87.0,8945,898,0,0,401
edge-09,scenario3_vispac,6992,11336572,795741,91.98,0.6934,1182.04,81.26,0.2,86.5,6650,342,0,0,297
edge-10,scenario3_vispac,9510,15275707,1147131,92.16,0.4851,1180.31,77.61,0.2,86.6,9086,424,0,0,269
edge-11,scenario3_vispac,14786,22722846,2391573,88.12,0.7035,1169.85,67.73,0.2,87.1,14349,437,0,0,140
edge-12,scenario3_vispac,11241,15176157,1346225,91.01,0.6110,1178.76,79.22,0.2,86.6,11194,47,0,0,54
edge-13,scenario3_vispac,6397,18816301,4176300,74.35,3.2203,1302.11,107.64,0.2,87.6,5727,404,58,208,352
edge-14,scenario3_vispac,6882,19098311,3831383,84.04,1.4866,1176.18,77.28,0.2,87.4,5736,955,90,101,284
edge-15,scenario3_vispac,3435,19082693,4532682,86.99,1.9656,1171.15,73.03,0.2,88.7,2875,0,133,427,146
edge-16,scenario3_vispac,7911,18704608,2127744,90.74,0.8356,1199.54,92.48,0.2,87.2,7084,692,23,112,511
edge-17,scenario3_vispac,3934,22714315,4822358,87.61,1.9339,1184.09,83.79,0.2,88.8,2924,472,116,422,276
edge-18,scenario3_vispac,6544,22480396,3333521,90.06,1.0043,1179.66,81.08,0.2,88.3,5842,347,141,214,175
edge-19,scenario3_vispac,3420,22545343,4524890,88.00,1.8949,1187.87,91.54,0.2,89.9,2873,0,107,440,120
edge-20,scenario3_vispac,13616,18883587,2451617,86.86,0.8967,1181.62,83.52,0.2,86.7,13476,140,0,0,158
